,heuristic,solution_len,acc,cum_acc
921,mult_heuristic,11707,True,0.257
466,sum_heuristic,11727,False,0.257
578,mult_heuristic,11744,False,0.257
710,sum_heuristic,11866,True,0.258
563,mult_heuristic,11964,False,0.258
991,mult_heuristic,11977,False,0.258
951,mult_heuristic,11982,False,0.258
132,sum_heuristic,12046,False,0.258
435,sum_heuristic,12051,False,0.258
825,mult_heuristic,12074,False,0.258
723,mult_heuristic,12102,True,0.259
652,mult_heuristic,12360,True,0.26
106,mult_heuristic,12461,False,0.26
658,mult_heuristic,12470,False,0.26
839,sum_heuristic,12481,True,0.261
583,mult_heuristic,12489,False,0.261
117,mult_heuristic,12509,True,0.262
694,mult_heuristic,12565,False,0.262
935,mult_heuristic,12573,True,0.263
108,mult_heuristic,12675,True,0.264
388,sum_heuristic,12807,True,0.265
744,mult_heuristic,12824,False,0.265
543,sum_heuristic,12827,False,0.265
299,mult_heuristic,12842,True,0.266
64,mult_heuristic,12890,False,0.266
423,sum_heuristic,12917,True,0.267
92,mult_heuristic,12942,True,0.268
870,mult_heuristic,13026,True,0.269
732,mult_heuristic,13060,True,0.27
80,sum_heuristic,13099,True,0.271
449,mult_heuristic,13226,False,0.271
913,mult_heuristic,13267,False,0.271
565,mult_heuristic,13307,True,0.272
262,mult_heuristic,13311,True,0.273
446,sum_heuristic,13429,True,0.274
447,sum_heuristic,13441,False,0.274
858,sum_heuristic,13459,True,0.275
461,sum_heuristic,13461,False,0.275
530,sum_heuristic,13508,True,0.276
517,mult_heuristic,13526,False,0.276
834,mult_heuristic,13665,False,0.276
66,sum_heuristic,13775,True,0.277
532,mult_heuristic,13784,True,0.278
221,mult_heuristic,13801,True,0.279
430,sum_heuristic,13835,False,0.279
399,sum_heuristic,13845,False,0.279
648,mult_heuristic,13873,True,0.28
226,sum_heuristic,13926,True,0.281
682,sum_heuristic,13969,True,0.282
605,sum_heuristic,14102,True,0.283
414,sum_heuristic,14171,False,0.283
457,mult_heuristic,14229,True,0.284
232,sum_heuristic,14244,False,0.284
984,sum_heuristic,14255,True,0.285
118,mult_heuristic,14278,False,0.285
89,sum_heuristic,14355,True,0.286
899,sum_heuristic,14512,False,0.286
499,sum_heuristic,14600,True,0.287
185,sum_heuristic,14723,True,0.288
243,sum_heuristic,14839,False,0.288
307,sum_heuristic,14909,True,0.289
920,mult_heuristic,14967,True,0.29
798,sum_heuristic,14985,True,0.291
33,mult_heuristic,14992,False,0.291
285,sum_heuristic,14992,True,0.292
816,sum_heuristic,14993,False,0.292
717,sum_heuristic,14997,True,0.293
533,sum_heuristic,15077,False,0.293
179,sum_heuristic,15079,False,0.293
866,sum_heuristic,15108,False,0.293
645,mult_heuristic,15177,True,0.294
408,mult_heuristic,15181,False,0.294
879,mult_heuristic,15187,True,0.295
3,sum_heuristic,15284,False,0.295
840,mult_heuristic,15305,False,0.295
881,sum_heuristic,15366,True,0.296
856,sum_heuristic,15368,True,0.297
100,sum_heuristic,15381,True,0.298
41,sum_heuristic,15384,True,0.299
574,mult_heuristic,15558,True,0.3
505,mult_heuristic,15635,False,0.3
832,sum_heuristic,15637,True,0.301
283,sum_heuristic,15701,True,0.302
29,sum_heuristic,15726,True,0.303
821,mult_heuristic,15765,False,0.303
937,mult_heuristic,15867,False,0.303
670,sum_heuristic,15924,False,0.303
607,sum_heuristic,15950,True,0.304
445,mult_heuristic,15997,False,0.304
575,sum_heuristic,16135,False,0.304
315,sum_heuristic,16143,False,0.304
336,mult_heuristic,16163,True,0.305
728,sum_heuristic,16222,True,0.306
750,sum_heuristic,16341,True,0.307
401,mult_heuristic,16348,False,0.307
79,mult_heuristic,16407,True,0.308
557,sum_heuristic,16423,False,0.308
857,mult_heuristic,16443,False,0.308
419,mult_heuristic,16455,False,0.308
149,sum_heuristic,16572,True,0.309
410,mult_heuristic,16656,True,0.31
556,sum_heuristic,16662,True,0.311
603,sum_heuristic,16692,False,0.311
415,sum_heuristic,16707,True,0.312
775,sum_heuristic,16730,False,0.312
982,mult_heuristic,16822,False,0.312
569,sum_heuristic,16910,True,0.313
593,mult_heuristic,16947,True,0.314
45,mult_heuristic,16953,False,0.314
743,mult_heuristic,17044,True,0.315
20,mult_heuristic,17061,True,0.316
946,sum_heuristic,17248,False,0.316
257,mult_heuristic,17303,True,0.317
785,mult_heuristic,17315,False,0.317
18,sum_heuristic,17406,True,0.318
906,sum_heuristic,17486,False,0.318
741,sum_heuristic,17507,False,0.318
598,mult_heuristic,17649,False,0.318
824,mult_heuristic,17735,True,0.319
331,sum_heuristic,17893,False,0.319
674,mult_heuristic,17900,False,0.319
687,mult_heuristic,17955,True,0.32
211,mult_heuristic,17971,False,0.32
269,sum_heuristic,18071,False,0.32
776,mult_heuristic,18167,False,0.32
343,mult_heuristic,18206,True,0.321
406,mult_heuristic,18213,True,0.322
308,mult_heuristic,18242,False,0.322
923,mult_heuristic,18314,True,0.323
184,sum_heuristic,18359,False,0.323
779,sum_heuristic,18369,False,0.323
214,sum_heuristic,18388,False,0.323
156,sum_heuristic,18414,True,0.324
852,mult_heuristic,18502,False,0.324
726,mult_heuristic,18548,False,0.324
349,mult_heuristic,18605,False,0.324
181,sum_heuristic,18702,False,0.324
27,mult_heuristic,18747,False,0.324
483,mult_heuristic,18790,False,0.324
113,mult_heuristic,18885,True,0.325
681,sum_heuristic,19063,True,0.326
887,mult_heuristic,19066,False,0.326
58,sum_heuristic,19087,False,0.326
577,mult_heuristic,19112,False,0.326
837,sum_heuristic,19174,False,0.326
326,sum_heuristic,19273,False,0.326
523,mult_heuristic,19337,True,0.327
70,mult_heuristic,19405,False,0.327
995,sum_heuristic,19443,True,0.328
322,sum_heuristic,19726,False,0.328
919,sum_heuristic,19843,True,0.329
454,mult_heuristic,19883,False,0.329
579,mult_heuristic,19884,True,0.33
378,sum_heuristic,19900,False,0.33
724,sum_heuristic,19975,True,0.331
950,sum_heuristic,20076,False,0.331
382,mult_heuristic,20113,True,0.332
208,sum_heuristic,20168,False,0.332
478,mult_heuristic,20292,True,0.333
169,sum_heuristic,20297,True,0.334
377,sum_heuristic,20386,False,0.334
502,sum_heuristic,20394,True,0.335
351,sum_heuristic,20551,False,0.335
87,sum_heuristic,20594,False,0.335
503,sum_heuristic,20752,False,0.335
611,mult_heuristic,20829,False,0.335
310,sum_heuristic,20945,False,0.335
730,sum_heuristic,20970,False,0.335
588,mult_heuristic,20989,False,0.335
256,sum_heuristic,21199,True,0.336
13,mult_heuristic,21261,True,0.337
81,sum_heuristic,21462,True,0.338
287,mult_heuristic,21638,True,0.339
28,sum_heuristic,21681,True,0.34
582,sum_heuristic,21686,False,0.34
344,sum_heuristic,21727,False,0.34
943,mult_heuristic,21750,True,0.341
535,sum_heuristic,21787,False,0.341
490,mult_heuristic,21810,False,0.341
576,mult_heuristic,21841,True,0.342
768,sum_heuristic,21882,False,0.342
173,mult_heuristic,21995,True,0.343
109,sum_heuristic,22025,True,0.344
426,mult_heuristic,22072,False,0.344
2,sum_heuristic,22074,False,0.344
329,mult_heuristic,22204,False,0.344
249,sum_heuristic,22211,False,0.344
655,mult_heuristic,22260,True,0.345
948,sum_heuristic,22264,True,0.346
519,mult_heuristic,22363,True,0.347
513,mult_heuristic,22468,True,0.348
323,mult_heuristic,22632,True,0.349
705,mult_heuristic,22746,False,0.349
42,sum_heuristic,22759,False,0.349
215,sum_heuristic,22870,False,0.349
425,sum_heuristic,22968,False,0.349
482,mult_heuristic,23068,False,0.349
498,sum_heuristic,23177,False,0.349
67,sum_heuristic,23319,False,0.349
888,mult_heuristic,23482,False,0.349
805,mult_heuristic,23500,False,0.349
613,mult_heuristic,23505,False,0.349
788,mult_heuristic,23515,True,0.35
515,mult_heuristic,23554,False,0.35
99,mult_heuristic,23561,False,0.35
903,sum_heuristic,23567,True,0.351
983,sum_heuristic,23676,True,0.352
247,mult_heuristic,23692,True,0.353
54,mult_heuristic,23699,False,0.353
697,sum_heuristic,23721,False,0.353
204,mult_heuristic,23722,False,0.353
508,mult_heuristic,23787,False,0.353
49,mult_heuristic,23858,True,0.354
745,sum_heuristic,24011,True,0.355
427,mult_heuristic,24052,False,0.355
555,mult_heuristic,24105,True,0.356
172,mult_heuristic,24121,False,0.356
827,sum_heuristic,24207,False,0.356
953,sum_heuristic,24240,True,0.357
844,sum_heuristic,24384,True,0.358
853,sum_heuristic,24535,False,0.358
361,sum_heuristic,24595,False,0.358
804,sum_heuristic,24701,False,0.358
509,sum_heuristic,24837,False,0.358
883,sum_heuristic,24863,False,0.358
539,sum_heuristic,24869,True,0.359
440,sum_heuristic,25038,False,0.359
657,sum_heuristic,25042,False,0.359
91,sum_heuristic,25110,False,0.359
458,sum_heuristic,25145,False,0.359
354,mult_heuristic,25190,False,0.359
686,sum_heuristic,25206,False,0.359
489,sum_heuristic,25265,False,0.359
614,sum_heuristic,25269,True,0.36
31,mult_heuristic,25317,False,0.36
239,sum_heuristic,25404,True,0.361
990,mult_heuristic,25547,False,0.361
932,mult_heuristic,25637,True,0.362
358,sum_heuristic,25677,True,0.363
11,mult_heuristic,25922,False,0.363
251,mult_heuristic,25983,True,0.364
537,sum_heuristic,26066,True,0.365
999,mult_heuristic,26173,True,0.366
96,mult_heuristic,26243,False,0.366
434,sum_heuristic,26434,False,0.366
487,sum_heuristic,26451,True,0.367
826,mult_heuristic,26709,True,0.368
327,mult_heuristic,26855,False,0.368
43,sum_heuristic,26982,False,0.368
102,sum_heuristic,27106,True,0.369
774,sum_heuristic,27520,False,0.369
942,mult_heuristic,27706,False,0.369
988,sum_heuristic,27725,False,0.369
453,mult_heuristic,27756,True,0.37
890,mult_heuristic,27848,False,0.37
733,sum_heuristic,27854,True,0.371
213,sum_heuristic,27963,True,0.372
53,sum_heuristic,27977,False,0.372
393,mult_heuristic,27995,False,0.372
524,sum_heuristic,28122,True,0.373
727,sum_heuristic,28312,True,0.374
320,mult_heuristic,28401,False,0.374
123,mult_heuristic,28730,False,0.374
245,sum_heuristic,28817,False,0.374
32,mult_heuristic,28917,True,0.375
952,mult_heuristic,28956,True,0.376
896,mult_heuristic,28975,False,0.376
400,mult_heuristic,29118,True,0.377
459,mult_heuristic,29490,False,0.377
625,sum_heuristic,30059,True,0.378
75,sum_heuristic,30100,False,0.378
291,mult_heuristic,30195,True,0.379
507,sum_heuristic,31397,False,0.379
362,mult_heuristic,31447,False,0.379
85,mult_heuristic,31990,True,0.38
130,mult_heuristic,32293,True,0.381
707,sum_heuristic,32304,True,0.382
908,sum_heuristic,32503,False,0.382
205,sum_heuristic,33017,True,0.383
751,mult_heuristic,33209,True,0.384
404,mult_heuristic,33952,True,0.385
759,mult_heuristic,35519,True,0.386
644,mult_heuristic,36052,True,0.387
167,sum_heuristic,36583,False,0.387
47,mult_heuristic,36964,False,0.387
632,mult_heuristic,37420,False,0.387
23,mult_heuristic,37442,False,0.387
747,sum_heuristic,38799,False,0.387
48,mult_heuristic,39321,False,0.387
817,mult_heuristic,39606,False,0.387
463,mult_heuristic,39630,True,0.388
210,sum_heuristic,40872,False,0.388
718,mult_heuristic,42406,False,0.388
791,mult_heuristic,43076,False,0.388
69,sum_heuristic,43615,False,0.388
163,sum_heuristic,44481,False,0.388
328,mult_heuristic,45086,False,0.388
706,sum_heuristic,45389,False,0.388
998,mult_heuristic,47709,False,0.388
82,mult_heuristic,65431,True,0.389
