,heuristic,solution_len,acc,beam_width
252,mult_heuristic,1238,False,2
253,mult_heuristic,9396,False,5
254,mult_heuristic,566,True,2
255,mult_heuristic,9844,False,5
256,sum_heuristic,10074,False,5
257,mult_heuristic,467,True,2
258,sum_heuristic,288,False,1
259,mult_heuristic,3599,False,3
260,mult_heuristic,3507,False,3
261,mult_heuristic,2703,True,4
262,sum_heuristic,474,True,2
263,mult_heuristic,9345,False,5
264,mult_heuristic,7332,True,5
265,mult_heuristic,305,False,1
266,mult_heuristic,1223,False,2
267,sum_heuristic,1097,True,2
268,mult_heuristic,4324,True,5
269,sum_heuristic,1536,True,3
270,sum_heuristic,1844,True,5
271,mult_heuristic,946,True,2
272,mult_heuristic,603,True,2
273,mult_heuristic,1244,False,2
274,sum_heuristic,6682,False,4
275,mult_heuristic,5194,True,5
276,mult_heuristic,1281,False,2
277,sum_heuristic,226,True,1
278,mult_heuristic,803,True,3
279,sum_heuristic,518,True,2
280,sum_heuristic,1274,False,2
281,mult_heuristic,1937,True,5
282,mult_heuristic,294,False,1
283,sum_heuristic,237,True,1
284,mult_heuristic,3500,False,3
285,sum_heuristic,1195,True,4
286,sum_heuristic,1639,True,3
287,sum_heuristic,6388,False,4
288,sum_heuristic,1308,False,2
289,mult_heuristic,237,True,1
290,mult_heuristic,9426,False,5
291,sum_heuristic,1289,False,2
292,sum_heuristic,9836,False,5
293,mult_heuristic,471,True,2
294,mult_heuristic,1235,False,2
295,mult_heuristic,306,False,1
296,sum_heuristic,3373,False,3
297,sum_heuristic,6013,False,4
298,sum_heuristic,6300,False,4
299,mult_heuristic,1469,True,4
300,mult_heuristic,971,True,3
301,mult_heuristic,300,False,1
302,sum_heuristic,285,False,1
303,mult_heuristic,430,True,2
304,sum_heuristic,293,False,1
305,mult_heuristic,295,False,1
306,sum_heuristic,461,True,2
307,mult_heuristic,854,True,3
308,mult_heuristic,3476,False,3
309,mult_heuristic,1288,True,4
310,sum_heuristic,845,True,3
311,mult_heuristic,237,True,1
312,sum_heuristic,837,True,3
313,mult_heuristic,1598,True,4
314,mult_heuristic,3520,False,3
315,sum_heuristic,285,False,1
316,sum_heuristic,945,True,3
317,sum_heuristic,10251,False,5
318,sum_heuristic,289,False,1
319,mult_heuristic,2639,True,3
320,sum_heuristic,294,False,1
321,mult_heuristic,463,True,2
322,mult_heuristic,1289,False,2
323,sum_heuristic,1185,False,2
324,sum_heuristic,861,True,3
325,sum_heuristic,1266,False,2
326,mult_heuristic,279,False,1
327,mult_heuristic,474,True,2
328,sum_heuristic,778,True,3
329,mult_heuristic,1747,True,5
330,mult_heuristic,1631,True,3
331,sum_heuristic,1730,True,5
332,sum_heuristic,295,False,1
333,sum_heuristic,3501,False,3
334,mult_heuristic,6305,False,4
335,sum_heuristic,1809,True,5
336,sum_heuristic,494,True,2
337,mult_heuristic,9674,False,5
338,mult_heuristic,510,True,2
339,mult_heuristic,1824,True,5
340,sum_heuristic,1857,True,5
341,sum_heuristic,841,True,3
342,sum_heuristic,3508,True,5
343,sum_heuristic,1902,True,5
344,mult_heuristic,10135,False,5
345,sum_heuristic,835,True,3
346,mult_heuristic,479,True,2
347,sum_heuristic,1829,True,5
348,sum_heuristic,3400,False,3
349,mult_heuristic,2104,True,5
350,sum_heuristic,293,False,1
351,mult_heuristic,3062,True,5
352,sum_heuristic,306,False,1
353,mult_heuristic,283,False,1
354,mult_heuristic,1324,True,4
355,mult_heuristic,2278,True,4
356,mult_heuristic,297,False,1
357,mult_heuristic,1875,True,5
358,sum_heuristic,921,True,3
359,mult_heuristic,1279,False,2
360,sum_heuristic,1262,True,4
361,mult_heuristic,3253,False,3
362,mult_heuristic,283,False,1
363,mult_heuristic,1259,False,2
364,sum_heuristic,1329,True,4
365,mult_heuristic,281,False,1
366,sum_heuristic,1864,True,5
367,sum_heuristic,301,False,1
368,sum_heuristic,874,True,2
369,sum_heuristic,1856,True,5
370,sum_heuristic,292,False,1
371,sum_heuristic,728,True,2
372,sum_heuristic,1884,True,5
373,mult_heuristic,1874,True,5
374,sum_heuristic,1245,False,2
375,sum_heuristic,471,True,2
376,mult_heuristic,1243,True,4
377,mult_heuristic,471,True,2
378,mult_heuristic,293,False,1
379,sum_heuristic,2959,True,5
380,sum_heuristic,6123,False,4
381,sum_heuristic,1289,False,2
382,mult_heuristic,2326,True,5
383,mult_heuristic,283,False,1
384,sum_heuristic,1248,False,2
385,sum_heuristic,237,True,1
386,sum_heuristic,857,True,3
387,sum_heuristic,3532,False,3
388,sum_heuristic,293,False,1
389,mult_heuristic,815,True,3
390,sum_heuristic,1299,True,4
391,sum_heuristic,6112,False,4
392,sum_heuristic,6164,False,4
393,mult_heuristic,3838,True,4
394,mult_heuristic,1286,False,2
395,sum_heuristic,3615,False,3
396,mult_heuristic,6142,False,4
397,mult_heuristic,1269,False,2
398,mult_heuristic,301,False,1
399,sum_heuristic,1297,False,2
400,sum_heuristic,1895,True,5
401,mult_heuristic,3429,False,3
402,mult_heuristic,835,True,3
403,sum_heuristic,3476,False,3
404,sum_heuristic,506,True,2
405,sum_heuristic,298,False,1
406,sum_heuristic,1226,False,2
407,mult_heuristic,1806,True,5
408,sum_heuristic,3512,False,3
409,mult_heuristic,3450,False,3
410,sum_heuristic,5697,True,5
411,sum_heuristic,1180,False,2
412,sum_heuristic,1723,True,5
413,mult_heuristic,6242,False,4
414,mult_heuristic,1853,True,5
415,mult_heuristic,1837,True,5
416,sum_heuristic,834,True,3
417,mult_heuristic,792,True,3
418,mult_heuristic,1299,False,2
419,mult_heuristic,799,True,3
420,sum_heuristic,1276,False,2
421,mult_heuristic,318,False,1
422,sum_heuristic,4812,True,5
423,mult_heuristic,844,True,2
424,mult_heuristic,3478,False,3
425,sum_heuristic,2112,True,5
426,sum_heuristic,1830,True,5
427,mult_heuristic,1252,False,2
428,sum_heuristic,4303,True,5
429,sum_heuristic,293,False,1
430,sum_heuristic,297,False,1
431,sum_heuristic,500,True,2
432,mult_heuristic,823,True,3
433,sum_heuristic,6083,False,4
434,mult_heuristic,1318,False,2
435,mult_heuristic,297,False,1
436,sum_heuristic,3476,False,3
437,sum_heuristic,518,True,2
438,sum_heuristic,6392,False,4
439,sum_heuristic,1008,True,3
440,mult_heuristic,293,False,1
